ProjectID,RequirementID,RequirementText
40,1,The system is expected to have reasonable short time response. The voter should be able to login and should be able to get response for his requests in 2-3 seconds.
40,2,The data transaction between client and server must be encrypted using SSL technology.
40,3,All the passwords that are generated or accepted must be stored in database in an encrypted form.
40,4,To prevent attacks the system should generate random word and ask the user to enter it correctly for multiple tryings.
40,5,The system should warn ECA users about the malfunction of the system.
40,6,The system should be simple to use
43,1,All users of the system shall login using some form of unique identification.
43,2,All login attempts shall be done so in a secure manner.
43,3,The system shall be compatible with the Microsoft Windows Operating System.
47,1,The system shall allow the user to register for an account from any page in the system.
47,2,The system will use a single password per user to login to the E-Store System.
47,3,The system shall use secure socket layer (SSL) technology to ensure all payments made online and user logins are secure.
49,1,Registered User must be able to maintain his/her session information for at least 60 minutes of inactive session before the system prompts him to log out of the system. The registered user must be provided with all the options of the E-store regardless of the time when he/she logs in.
49,2,The entire website must be user-friendly and easily navigable. The website must be provided with a site map for quick access to a particular link according to the requirement specification. The user must be able to find what he/she wants from the site without any difficulty. The website must adhere to branding schemes and the layout of the web pages must be uniform throughout  
49,3,The system shall support up to 10000 simultaneous users against the central database at any given time and up to 5000 simultaneous users against the local servers at any one time. The performance of the website must be optimal incase of huge loads and hence appropriate load balancing must be done to achieve this. There can be any number of mirror servers readily available in case of huge loads without the user getting any delay.
49,4,The website must provide highest degree of security to the registered users. All the transactions that are made must be secured. The sensitive information passed to and from the website must be secured. Identity theft and other security related issues must be solved. Unauthorized transmission of sensitive information of the user to third party websites for reference must be avoided. On the basis of user agreement the information must be processed. All the information about the registered user must be securely stored in the central database.
